id	daddy	nivel	name	arco
P11390	2	2	0:N/A	M81.38460146742909,-70.9968072802414A108,108,0,0,1,81.49137539715997,-70.87422476386708L40.745687698579985,-35.43711238193354A54,54,0,0,0,40.692300733714546,-35.4984036401207Z
P11391	2	2	09:Cafe, te, yerba mate y especia	M81.49137539715997,-70.87422476386708A108,108,0,0,1,82.12813319951799,-70.13536723481407L41.064066599758995,-35.067683617407035A54,54,0,0,0,40.745687698579985,-35.43711238193354Z
P11392	2	2	09:Cafe, te, yerba mate y especia	M82.12813319951799,-70.13536723481407A108,108,0,0,1,82.54892005210303,-69.6396137139739L41.274460026051514,-34.81980685698695A54,54,0,0,0,41.064066599758995,-35.067683617407035Z
P11393	2	2	0:N/A	M82.54892005210303,-69.6396137139739A108,108,0,0,1,82.6536497819687,-69.51528017435928L41.32682489098435,-34.75764008717964A54,54,0,0,0,41.274460026051514,-34.81980685698695Z
P11394	2	2	09:Cafe, te, yerba mate y especia	M82.6536497819687,-69.51528017435928A108,108,0,0,1,83.32981779251922,-68.70328570501958L41.66490889625961,-34.35164285250979A54,54,0,0,0,41.32682489098435,-34.75764008717964Z
P11395	2	2	0:N/A	M83.32981779251922,-68.70328570501958A108,108,0,0,1,83.43313725398255,-68.5777777997954L41.716568626991275,-34.2888888998977A54,54,0,0,0,41.66490889625961,-34.35164285250979Z
P11396	2	2	09:Cafe, te, yerba mate y especia	M83.43313725398255,-68.5777777997954A108,108,0,0,1,83.63920883942733,-68.32629614368587L41.81960441971366,-34.16314807184293A54,54,0,0,0,41.716568626991275,-34.2888888998977Z
P11397	2	2	09:Cafe, te, yerba mate y especia	M83.63920883942733,-68.32629614368587A108,108,0,0,1,83.9468943753835,-67.9479133213685L41.97344718769175,-33.97395666068425A54,54,0,0,0,41.81960441971366,-34.16314807184293Z
P11398	2	2	0:N/A	M83.9468943753835,-67.9479133213685A108,108,0,0,1,84.04907613285121,-67.82147743314194L42.024538066425606,-33.91073871657097A54,54,0,0,0,41.97344718769175,-33.97395666068425Z
P11399	2	2	09:Cafe, te, yerba mate y especia	M84.04907613285121,-67.82147743314194A108,108,0,0,1,84.25286812628423,-67.56814495377951L42.12643406314211,-33.784072476889754A54,54,0,0,0,42.024538066425606,-33.91073871657097Z
P11400	2	2	09:Cafe, te, yerba mate y especia	M84.25286812628423,-67.56814495377951A108,108,0,0,1,85.16045645196417,-66.42060415935039L42.58022822598208,-33.210302079675195A54,54,0,0,0,42.12643406314211,-33.784072476889754Z
P11401	2	2	09:Cafe, te, yerba mate y especia	M85.16045645196417,-66.42060415935039A108,108,0,0,1,86.44378327374245,-64.74158117718662L43.22189163687123,-32.37079058859331A54,54,0,0,0,42.58022822598208,-33.210302079675195Z
P11402	2	2	09:Cafe, te, yerba mate y especia	M86.44378327374245,-64.74158117718662A108,108,0,0,1,87.21710227441646,-63.69597374131256L43.60855113720823,-31.84798687065628A54,54,0,0,0,43.22189163687123,-32.37079058859331Z
P11403	2	2	10:Cereale	M87.21710227441646,-63.69597374131256A108,108,0,0,1,87.97777451719814,-62.64113018617273L43.98888725859907,-31.320565093086365A54,54,0,0,0,43.60855113720823,-31.84798687065628Z
P11404	2	2	1:N/A	M87.97777451719814,-62.64113018617273A108,108,0,0,1,88.07196380884095,-62.50863293061376L44.035981904420474,-31.25431646530688A54,54,0,0,0,43.98888725859907,-31.320565093086365Z
P11405	2	2	10:Cereale	M88.07196380884095,-62.50863293061376A108,108,0,0,1,88.25974354476219,-62.243213842256L44.129871772381094,-31.121606921128A54,54,0,0,0,44.035981904420474,-31.25431646530688Z
P11406	2	2	1:N/A	M88.25974354476219,-62.243213842256A108,108,0,0,1,88.44672340010949,-61.97723065597983L44.223361700054745,-30.988615327989915A54,54,0,0,0,44.129871772381094,-31.121606921128Z
P11407	2	2	10:Cereale	M88.44672340010949,-61.97723065597983A108,108,0,0,1,88.67932080636956,-61.643962083248596L44.33966040318478,-30.821981041624298A54,54,0,0,0,44.223361700054745,-30.988615327989915Z
P11408	2	2	1:N/A	M88.67932080636956,-61.643962083248596A108,108,0,0,1,88.81827669810113,-61.443581636974464L44.409138349050565,-30.721790818487232A54,54,0,0,0,44.33966040318478,-30.821981041624298Z
P11409	2	2	10:Cereale	M88.81827669810113,-61.443581636974464A108,108,0,0,1,89.00284677343154,-61.17592064060062L44.50142338671577,-30.58796032030031A54,54,0,0,0,44.409138349050565,-30.721790818487232Z
P11410	2	2	10:Cereale	M89.00284677343154,-61.17592064060062A108,108,0,0,1,89.36956541316655,-60.63893780288161L44.68478270658328,-30.319468901440803A54,54,0,0,0,44.50142338671577,-30.58796032030031Z
P11411	2	2	10:Cereale	M89.36956541316655,-60.63893780288161A108,108,0,0,1,89.77825071484259,-60.03220551156576L44.88912535742129,-30.01610275578288A54,54,0,0,0,44.68478270658328,-30.319468901440803Z
P11412	2	2	1:N/A	M89.77825071484259,-60.03220551156576A108,108,0,0,1,89.91356472424629,-59.82934797053012L44.95678236212314,-29.91467398526506A54,54,0,0,0,44.88912535742129,-30.01610275578288Z
P11413	2	2	10:Cereale	M89.91356472424629,-59.82934797053012A108,108,0,0,1,90.13806914729317,-59.49057480305428L45.06903457364658,-29.74528740152714A54,54,0,0,0,44.95678236212314,-29.91467398526506Z
P11414	2	2	10:Cereale	M90.13806914729317,-59.49057480305428A108,108,0,0,1,90.93569375449825,-58.26405067782457L45.46784687724912,-29.132025338912285A54,54,0,0,0,45.06903457364658,-29.74528740152714Z
P11415	2	2	1:N/A	M90.93569375449825,-58.26405067782457A108,108,0,0,1,91.02329120840092,-58.127106048646915L45.51164560420046,-29.063553024323458A54,54,0,0,0,45.46784687724912,-29.132025338912285Z
P11416	2	2	11:Productos de la molineria  malta  almidon y fecula  inulina  gluten de trig	M91.02329120840092,-58.127106048646915A108,108,0,0,1,91.37161673001036,-57.57801365229692L45.68580836500518,-28.78900682614846A54,54,0,0,0,45.51164560420046,-29.063553024323458Z
P11417	2	2	11:Productos de la molineria  malta  almidon y fecula  inulina  gluten de trig	M91.37161673001036,-57.57801365229692A108,108,0,0,1,91.84515336170884,-56.819607566087456L45.92257668085442,-28.409803783043728A54,54,0,0,0,45.68580836500518,-28.78900682614846Z
P11418	2	2	11:Productos de la molineria  malta  almidon y fecula  inulina  gluten de trig	M91.84515336170884,-56.819607566087456A108,108,0,0,1,92.4387280764808,-55.84873813796011L46.2193640382404,-27.924369068980056A54,54,0,0,0,45.92257668085442,-28.409803783043728Z
P11419	2	2	11:Productos de la molineria  malta  almidon y fecula  inulina  gluten de trig	M92.4387280764808,-55.84873813796011A108,108,0,0,1,92.60643877532314,-55.570203322934915L46.30321938766157,-27.785101661467458A54,54,0,0,0,46.2193640382404,-27.924369068980056Z
P11420	2	2	11:Productos de la molineria  malta  almidon y fecula  inulina  gluten de trig	M92.60643877532314,-55.570203322934915A108,108,0,0,1,92.93934083924954,-55.01162535651716L46.46967041962477,-27.50581267825858A54,54,0,0,0,46.30321938766157,-27.785101661467458Z
P11421	2	2	11:Productos de la molineria  malta  almidon y fecula  inulina  gluten de trig	M92.93934083924954,-55.01162535651716A108,108,0,0,1,93.10452918730815,-54.73158726740608L46.55226459365407,-27.36579363370304A54,54,0,0,0,46.46967041962477,-27.50581267825858Z
P11422	2	2	11:Productos de la molineria  malta  almidon y fecula  inulina  gluten de trig	M93.10452918730815,-54.73158726740608A108,108,0,0,1,93.63555620592786,-53.81805100527634L46.81777810296393,-26.90902550263817A54,54,0,0,0,46.55226459365407,-27.36579363370304Z
P11423	2	2	1:N/A	M93.63555620592786,-53.81805100527634A108,108,0,0,1,93.71645837411774,-53.67704751392589L46.85822918705887,-26.838523756962946A54,54,0,0,0,46.81777810296393,-26.90902550263817Z
P11424	2	2	1:N/A	M93.71645837411774,-53.67704751392589A108,108,0,0,1,93.87762552704284,-53.3946760024285L46.93881276352142,-26.69733800121425A54,54,0,0,0,46.85822918705887,-26.838523756962946Z
P11425	2	2	12:Semillas y frutos oleaginosos  semillas y frutos diversos  plantas industriales o medicinales  paja y forraj	M93.87762552704284,-53.3946760024285A108,108,0,0,1,94.07788786824571,-53.041031421436244L47.038943934122855,-26.520515710718122A54,54,0,0,0,46.93881276352142,-26.69733800121425Z
P11426	2	2	12:Semillas y frutos oleaginosos  semillas y frutos diversos  plantas industriales o medicinales  paja y forraj	M94.07788786824571,-53.041031421436244A108,108,0,0,1,94.51377170496494,-52.26037655912716L47.25688585248247,-26.13018827956358A54,54,0,0,0,47.038943934122855,-26.520515710718122Z
